select lokace_key, ",", KNODDEL_cisloknih, ",", knoddel_nazev, ",", LOKACE_SHORT, ",", count(kj_key), ",", "30.09.2025" from lokace left join kj on kj_ptr_owner = lokace_key left join knoddel on knoddel_key = lokace_ptr_knoddel group by lokace_key, lokace_short, knoddel_cisloknih, knoddel_nazev order by knoddel_cisloknih
 LOKACE_KEY CONSTANT KNODDEL_CISLOKNIH CONSTANT             KNODDEL_NAZEV CONSTANT LOKACE_SHORT CONSTANT       COUNT CONSTANT   CONSTANT
=========== ======== ================= ======== ========================= ======== ============ ======== =========== ======== ==========
        812 ,                        8 ,        Školská                   ,        SKO-DOPO1    ,                332 ,        30.09.2025
        814 ,                        8 ,        Školská                   ,        SKO-DOPO3    ,                283 ,        30.09.2025
        815 ,                        8 ,        Školská                   ,        SKO-MAPY     ,                205 ,        30.09.2025
        816 ,                        8 ,        Školská                   ,        SKO-AUDIO    ,                387 ,        30.09.2025
        894 ,                        8 ,        Školská                   ,        SKO-CASDE    ,                 40 ,        30.09.2025
        895 ,                        8 ,        Školská                   ,        SKO-KOMIKS   ,                135 ,        30.09.2025
        958 ,                        8 ,        Školská                   ,        SKO-KOMDO    ,                288 ,        30.09.2025
       1161 ,                        8 ,        Školská                   ,        SKO-SELF     ,                  0 ,        30.09.2025
        443 ,                       10 ,        Vysoèany                  ,        VYS-BELDO    ,               3139 ,        30.09.2025
        444 ,                       10 ,        Vysoèany                  ,        VYS-NAUDO    ,               2901 ,        30.09.2025
        445 ,                       10 ,        Vysoèany                  ,        VYS-NAUDE    ,               1417 ,        30.09.2025
        446 ,                       10 ,        Vysoèany                  ,        VYS-BELDE    ,               2029 ,        30.09.2025
        447 ,                       10 ,        Vysoèany                  ,        VYS-POEDIV   ,                218 ,        30.09.2025
        448 ,                       10 ,        Vysoèany                  ,        VYS-CHFVYP   ,                 54 ,        30.09.2025
        449 ,                       10 ,        Vysoèany                  ,        VYS-PRSKDE   ,                805 ,        30.09.2025
        450 ,                       10 ,        Vysoèany                  ,        VYS-PRSK     ,               2651 ,        30.09.2025
        451 ,                       10 ,        Vysoèany                  ,        VYS-VYLOHY   ,                 23 ,        30.09.2025
        452 ,                       10 ,        Vysoèany                  ,        VYS-HRAB     ,                  5 ,        30.09.2025
        453 ,                       10 ,        Vysoèany                  ,        VYS-POK      ,                 23 ,        30.09.2025
        747 ,                       10 ,        Vysoèany                  ,        VYS-VSMS     ,                 15 ,        30.09.2025
        803 ,                       10 ,        Vysoèany                  ,        VYS-DOPOR    ,                108 ,        30.09.2025
        936 ,                       10 ,        Vysoèany                  ,        VYS-CASDO    ,                130 ,        30.09.2025
        937 ,                       10 ,        Vysoèany                  ,        VYS-CASDE    ,                 38 ,        30.09.2025
       1083 ,                       10 ,        Vysoèany                  ,        VYS-KOMIKS   ,                249 ,        30.09.2025
       1162 ,                       10 ,        Vysoèany                  ,        VYS-SELF     ,                  0 ,        30.09.2025
       1211 ,                       11 ,        Velký mlýn                ,        MLY-LITDO    ,               2933 ,        30.09.2025
       1212 ,                       11 ,        Velký mlýn                ,        MLY-LITDE    ,                892 ,        30.09.2025
       1213 ,                       11 ,        Velký mlýn                ,        MLY-DOPOR    ,                135 ,        30.09.2025
       1214 ,                       11 ,        Velký mlýn                ,        MLY-KOMDO    ,                150 ,        30.09.2025
       1215 ,                       11 ,        Velký mlýn                ,        MLY-KOMDE    ,                 60 ,        30.09.2025
       1216 ,                       11 ,        Velký mlýn                ,        MLY-LEPOR    ,                 25 ,        30.09.2025
