pobocka_cislo,lokace_short_norm,OCH,kapacita_fyzicka,stav_na_regalu,lokace_id
35,NONE,Dnes vrácené knihy,379.0,0.0,
35,NONE,Rezervace,299.0,0.0,
37,DED-DOPOR,Beletrie - dospělí,178.0,0.0,1153
37,DED-KOMIKS,None,180.0,0.0,1078
37,DED-LITDE,Beletrie - děti,2053.0,37.0,822
37,DED-LITDE,Deskové hry,18.0,0.0,822
37,DED-LITDE,Dnes vrácené knihy,28.0,0.0,822
37,DED-LITDE,Naučná - děti,605.0,0.0,822
37,DED-LITDO,Beletrie - dospělí,2653.0,0.0,823
37,DED-LITDO,Naučná - dospělí,2577.0,6.0,823
37,DED-PERDE,Časopisy pro děti,9.0,0.0,851
37,DED-PERDO,Časopisy pro dospělé,53.0,0.0,852
37,DED-VSMS,CD,21.0,0.0,732
37,NONE,Rezervace,68.0,0.0,
38,DEJ-AUDIO,CD,140.0,0.0,930
38,DEJ-BEL,Beletrie - dospělí,12223.0,0.0,711
38,DEJ-CASDE,Časopisy pro děti,11.0,0.0,929
38,DEJ-CASNAU1,Časopisy pro dospělé,37.0,0.0,
38,DEJ-CASNAU2,Časopisy pro dospělé,74.0,0.0,
38,DEJ-CIZJAZ,Beletrie - dospělí,1133.0,32.0,713
38,DEJ-DOPOR1,Beletrie - dospělí,318.0,0.0,750
38,DEJ-DOPOR2,Beletrie - děti,72.0,0.0,751
38,DEJ-DOPOR2,Naučná - dospělí,36.0,0.0,751
38,DEJ-DOPOR2,None,40.0,0.0,751
38,DEJ-KOMDO,Beletrie - dospělí,350.0,0.0,1151
38,DEJ-LITDE,Beletrie - děti,4686.0,0.0,715
38,DEJ-LITDE,Naučná - děti,1379.0,6.5,715
38,DEJ-LITML,Beletrie - děti,575.0,0.0,1036
38,DEJ-MAPY,Naučná - dospělí,68.0,0.0,926
38,DEJ-NAU1,JK,84.0,0.0,712
38,DEJ-NAU1,Naučná - dospělí,8459.0,11.0,712
38,DEJ-NAU2,Naučná - dospělí,7728.0,40.0,714
38,NONE,Dnes vrácené knihy,819.0,0.0,
38,NONE,Rezervace,779.0,0.0,
39,LET-CASDE,Časopisy pro děti,9.0,0.0,1052
39,LET-DOPOR,Doporučujeme dětem,89.0,0.0,1050
39,LET-HRAB,Dnes vrácené knihy,89.0,0.0,1055
39,LET-KOMIKS,Beletrie - děti,150.0,0.0,1054
39,LET-LITDE,Beletrie - děti,1600.0,0.0,1127
39,LET-LITDE,Doporučujeme dětem,149.0,0.0,1127
39,LET-LITDE,Naučná - děti,965.0,0.0,1127
39,LET-LITDO,Beletrie - dospělí,70.0,0.0,1056
39,LET-LITDO,Naučná - dospělí,30.0,0.0,1056
39,NONE,Rezervace,179.0,0.0,
41,NOV-AUDIO,None,53.0,0.0,962
41,NOV-BELDO,Beletrie - dospělí,7528.0,0.0,238
41,NOV-CASOP,None,181.0,0.0,244
41,NOV-DETCAS,None,36.0,0.0,241
41,NOV-DOPOR,None,421.0,0.0,780
41,NOV-HRAB,Dnes vrácené knihy,263.0,0.0,245
41,NOV-HRAB,None,263.0,0.0,245
41,NOV-KOMDE,Beletrie - děti,114.0,0.0,964
41,NOV-KOMIKS,Beletrie - dospělí,329.0,0.0,830
41,NOV-LITDE,Beletrie - děti,2984.0,0.0,240
41,NOV-LITDE,Naučná - děti,1336.0,0.0,240
41,NOV-MAPY,None,46.0,0.0,905
41,NOV-MLSL,None,158.0,0.0,966
41,NOV-NAUDO,Naučná - dospělí,5134.0,0.0,242
41,NOV-POEDI,Beletrie - dospělí,341.0,0.0,963
41,NOV-SAMOPRA,None,30.0,0.0,
41,NOV-VYSTAV,None,98.0,0.0,1285
41,REZERVACE,None,542.0,0.0,
42,NONE,None,0.0,0.0,
42,NONE,Rezervace,221.0,0.0,
42,PET-BELDO2,Beletrie - dospělí,4001.0,0.0,1236
42,PET-CASDE1,Časopisy pro děti,27.0,0.0,1226
42,PET-CASDO1,Časopisy pro dospělé,61.0,0.0,1227
42,PET-CASDO2,Časopisy pro dospělé,27.0,0.0,
42,PET-DOPDE1,Beletrie - děti,18.0,0.0,1229
42,PET-DOPOR1,Naučná - dospělí,35.0,0.0,1230
42,PET-DOPOR2,Beletrie - dospělí,159.0,0.0,1239
42,PET-DOPOR2,Deskové hry,14.0,0.0,1239
42,PET-HRAB1,Dnes vrácené knihy,280.0,0.0,1228
42,PET-KOMDE1,Beletrie - děti,35.0,0.0,1231
42,PET-KOMDO2,Beletrie - dospělí,300.0,0.0,1242
42,PET-LEPDE1,Beletrie - děti,60.0,0.0,1232
42,PET-LITDE1,Beletrie - děti,2191.0,0.0,1233
42,PET-LITDE1,Naučná - děti,381.0,0.0,1233
42,PET-LITML2,Beletrie - dospělí,173.0,0.0,1240
42,PET-LITML2,Beletrie - děti,529.0,0.0,1240
42,PET-LITML2,Naučná - děti,358.0,0.0,1240
42,PET-NAUDO2,Naučná - dospělí,3893.0,0.0,1241
42,PET-VITRI1,Beletrie - dospělí,58.0,0.0,1235
42,PET-VSMS1,CD,11.0,0.0,1234
43,NVE-CASDE,Časopisy pro děti,60.0,0.0,907
43,NVE-CASDO,Časopisy pro dospělé,106.0,0.0,906
43,NVE-CHFDE,Beletrie - děti,93.0,0.0,507
43,NVE-CHFDE,CD,60.0,0.0,507
43,NVE-CHFDE,Deskové hry,35.0,0.0,507
43,NVE-CHFDE,Naučná - dospělí,72.0,0.0,507
43,NVE-HRAB,Dnes vrácené knihy,166.0,0.0,504
43,NVE-KOMDE,Beletrie - dospělí,50.0,0.0,1023
43,NVE-KOMDE,Beletrie - děti,150.0,0.0,1023
43,NVE-KOMDO,Beletrie - dospělí,70.0,0.0,843
