lokace_id,kapacita_deskriptor,kapacita_och
223,,SV
223,,D
223,,E
223,,G
223,,K
223,,L
223,,N
223,,R
223,,S
223,,W
223,,X
223,,A1
327,,A4
752,,A1
752,,B1
752,,B2
752,,J3
752,,J4
754,,A4
754,,A2
754,,A3
525,,A1
525,,A4
227,,Vnoty
227,,S
360,,A4
360,,A2
360,,A3
1037,,A1
273,,A1
1037,,B2
1037,,J4
1040,,A2
711,,B1
711,,B2
1040,,A3
273,,B2
273,,J1
273,,J2
324,,A1
699,,A1
699,,B2
699,,J4
1236,,A1
1091,,A2
1091,,A3
324,,J1
324,,J2
361,,B2
537,,A1
537,,B2
324,,J3
324,,J4
435,,A1
437,,A2
437,,A3
537,,J4
1042,,A4
963,,B1
963,,B2
332,,R
332,,T
713,,J2
713,,J3
713,,J4
713,,J5
715,,A4
715,,A2
715,,A3
324,,J5
332,,Y
332,,V
1036,,A1
332,,X
434,,C
434,,D
434,,E
434,,G
434,,K
434,,L
434,,N
434,,O
434,,P
712,,D
434,,R
434,,S
434,,T
434,,V
434,,W
434,,X
434,,Y
434,,Z
441,,J4
441,,J5
441,,B1
441,,B2
654,,A4
654,,A2
712,,G
654,,A3
712,,L
712,,O
712,,R
712,,S
712,,V
653,,A1
653,,B1
653,,B2
653,,J4
712,,X
714,,C
714,,E
714,,K
714,,N
714,,P
714,,T
714,,W
714,,Y
714,,Z
325,,C
325,,D
325,,E
325,,G
325,,K
325,,L
325,,N
325,,O
325,,P
325,,S
325,,W
325,,Z
331,,B2
976,,A1
976,,C
976,,D
976,,E
976,,G
976,,L
976,,P
976,,R
976,,S
976,,X
273,,J3
273,,J4
270,,A1
270,,A4
270,,A2
270,,A3
274,,B1
274,,C
274,,D
274,,E
274,,G
274,,K
274,,L
274,,N
274,,O
274,,P
274,,R
274,,S4
274,,S6
274,,T
274,,U
274,,V
274,,W
274,,X
274,,Y
274,,Z
1038,,C
1038,,D
1038,,E
1038,,G
1038,,K
1038,,L
1038,,N
1038,,P
1038,,R
1038,,S
1038,,T
1038,,W
1038,,X
1038,,Y
1038,,Z
465,,A4
461,,A1
461,,J4
461,,B1
461,,B2
462,,C
462,,D
462,,E
462,,G
462,,K
462,,L
462,,N
462,,O
462,,P
462,,R
462,,S
700,,C
462,,T
462,,V
462,,W
462,,X
462,,Y
462,,Z
700,,D
700,,E
700,,G
700,,K
700,,L
1056,,A1
700,,N
700,,O
700,,P
700,,R
700,,S
700,,T
700,,V
700,,W
700,,X
700,,Y
700,,Z
1236,,B1
976,,W
1236,,B2
1236,,J4
1240,,A1
1240,,A4
1233,,A2
1233,,A3
1233,,K
1233,,L
1233,,N
1233,,X
1233,,T
1233,,Y
1241,,C
1241,,D
1241,,E
1241,,G
1241,,K
1241,,L
1241,,N
1241,,O
1241,,P
1241,,R
1241,,S
1241,,T
1241,,U
1241,,V
1241,,W
1241,,X
1241,,Y
1241,,Z
331,,B1
976,,O
1067,,
1019,,
863,,
862,,
866,,
865,,
867,,
219,MÁG (piktogram),A3
219,E.T. (piktogram),A3
212,princezna piktogram,A2
212,princezna piktogram,A3
212,ost.naucna,"G,O,W"
1042,E.T. (piktogram),A4
875,E.T. (piktogram),A4
875,MÁG (piktogram),A4
539,ost.naucna,"G,O,W,X"
1042,MÁG (piktogram),A4
249,ost.cizi,J
1095,E.T. (piktogram),A4
1095,MÁG (piktogram),A4
1132,ost.naucna,C-Z
1114,DÍVKA (piktogram),A4
1114,E.T. (piktogram),A4
1114,MÁG (piktogram),A4
1114,PISTOLE (piktogram),A4
1099,PRINCEZNA (piktogram),A2-A4
1035,CIZ-NAUCNA,J
1100,ost.cizi,J
1099,PEGAS (piktogram),A2-A4
1233,ost.cizi,J1-J4
437,ost.cizí,J
1212,poezie děti,B2
207,E.T. (piktogram),A1
207,MÁG (piktogram),A1
674,E.T. (piktogram),A1
674,MÁG (piktogram),A1
1121,MILENCI (piktogram),A1
1121,PISTOLE (piktogram),A1
1121,LEBKA (piktogram),A1
359,E.T. (piktogram),A1
359,MÁG (piktogram),A1
1127,MÁG (piktogram),A1
1127,E.T. (piktogram),A1
539,DÍVKA (piktogram),A1
1099,PRINCEZNA (piktogram),A1
1099,PEGAS (piktogram),A1
145,MILENCI (piktogram),A1
145,PISTOLE (piktogram),A1
567,PISTOLE (piktogram),A1
567,E.T. (piktogram),A1
567,MÁG (piktogram),A1
367,MILENCI (piktogram),A1
375,PISTOLE (piktogram),A1
375,LEBKA (piktogram),A1
515,MILENCI (piktogram),A1
515,PISTOLE (piktogram),A1
567,MILENCI (piktogram),A1
207,PISTOLE (piktogram),A1
375,E.T. (piktogram),A1
375,MÁG (piktogram),A1
375,MILENCI (piktogram),A1
375,DÍVKA (piktogram),A1
699,MÁG (piktogram),A1
238,PISTOLE (piktogram),A1
238,E.T. (piktogram),A1
238,MÁG (piktogram),A1
238,MILENCI (piktogram),A1
699,E.T. (piktogram),A1
499,PISTOLE (piktogram),A1
499,MILENCI (piktogram),A1
499,E.T. (piktogram),A1
499,MÁG (piktogram),A1
672,MILENCI (piktogram),A1
752,ERB (piktogram),A1
752,LEBKA (piktogram),A1
752,KOVBOJ (piktogram),A1
752,PISTOLE (piktogram),A1
752,E.T. (piktogram),A1
752,MÁG (piktogram),A1
752,MILENCI (piktogram),A1
752,DÍVKA (piktogram),A1
116,E.T. (piktogram),A1
116,MÁG (piktogram),A1
443,MILENCI (piktogram),A1
443,PISTOLE (piktogram),A1
443,E.T. (piktogram),A1
443,MÁG (piktogram),A1
352,PISTOLE (piktogram),A1
