lokace_id,lokace_short,lokace_short_norm,knoddel_cisloknih,knoddel_nazev,stav_fondu_celkem_zdroj,datum,pobocka_cislo,je_realokace
1255,BAR-AKJK,BAR-AKJK,62.0,Barrandov,51,2025-09-30,62,False
464,BAR-NAUDE,BAR-NAUDE,62.0,Barrandov,1154,2025-09-30,62,True
465,BAR-BELDE,BAR-BELDE,62.0,Barrandov,2735,2025-09-30,62,True
462,BAR-NAUDO,BAR-NAUDO,62.0,Barrandov,3667,2025-09-30,62,True
466,BAR-CHF,BAR-CHF,62.0,Barrandov,2,2025-09-30,62,False
888,BAR-CASDO,BAR-CASDO,62.0,Barrandov,114,2025-09-30,62,False
675,BAR-PRSK,BAR-PRSK,62.0,Barrandov,259,2025-09-30,62,False
1146,BAR-LEPOR,BAR-LEPOR,62.0,Barrandov,128,2025-09-30,62,True
1145,BAR-VSMS,BAR-VSMS,62.0,Barrandov,433,2025-09-30,62,False
1072,BAR-KOMDE,BAR-KOMDE,62.0,Barrandov,112,2025-09-30,62,True
1071,BAR-KOMDO,BAR-KOMDO,62.0,Barrandov,144,2025-09-30,62,True
461,BAR-BELDO,BAR-BELDO,62.0,Barrandov,4363,2025-09-30,62,True
765,BAR-DOPOR,BAR-DOPOR,62.0,Barrandov,563,2025-09-30,62,False
459,BAR-HRAB,BAR-HRAB,62.0,Barrandov,31,2025-09-30,62,False
691,BBS-SKLAD,BBS-SKLAD,99.0,BibHostivař,3034,2025-09-30,99,False
694,BB1-NAUBE,BB1-NAUBE,99.0,Bibliobus 1,2,2025-09-30,99,False
676,BB1-PULT,BB1-PULT,99.0,Bibliobus 1,2,2025-09-30,99,False
681,BB2-PULT,BB2-PULT,99.0,Bibliobus 2,40,2025-09-30,99,False
695,BB2-NAUBE,BB2-NAUBE,99.0,Bibliobus 2,2191,2025-09-30,99,False
682,BB2-HRAB,BB2-HRAB,99.0,Bibliobus 2,7,2025-09-30,99,False
696,BB3-NAUBE,BB3-NAUBE,99.0,Bibliobus 3,595,2025-09-30,99,False
687,BB3-HRAB,BB3-HRAB,99.0,Bibliobus 3,19,2025-09-30,99,False
686,BB3-PULT,BB3-PULT,99.0,Bibliobus 3,53,2025-09-30,99,False
222,BOH-HRAB,BOH-HRAB,52.0,Bohnice,234,2025-09-30,52,False
227,BOH-HUDBA,BOH-HUDBA,52.0,Bohnice,1535,2025-09-30,52,True
221,BOH-NAUDO,BOH-NAUDO,52.0,Bohnice,10723,2025-09-30,52,True
1251,BOH-VYSTAV,BOH-VYSTAV,52.0,Bohnice,1051,2025-09-30,52,False
220,BOH-DETCAS,BOH-DETCAS,52.0,Bohnice,34,2025-09-30,52,False
232,BOH-CHFI1,BOH-CHFI1,52.0,Bohnice,947,2025-09-30,52,False
1253,BOH-CIZOJ,BOH-CIZOJ,52.0,Bohnice,602,2025-09-30,52,True
224,BOH-CHFOND,BOH-CHFOND,52.0,Bohnice,2959,2025-09-30,52,False
219,BOH-LITDE,BOH-LITDE,52.0,Bohnice,4750,2025-09-30,52,True
1139,BOH-KOMDO,BOH-KOMDO,52.0,Bohnice,790,2025-09-30,52,True
218,BOH-BELDO,BOH-BELDO,52.0,Bohnice,11373,2025-09-30,52,True
225,BOH-POK,BOH-POK,52.0,Bohnice,33,2025-09-30,52,False
228,BOH-HUDCAS,BOH-HUDCAS,52.0,Bohnice,17,2025-09-30,52,False
230,BOH-CASOP,BOH-CASOP,52.0,Bohnice,906,2025-09-30,52,False
766,BOH-DOPOR,BOH-DOPOR,52.0,Bohnice,257,2025-09-30,52,False
223,BOH-SKLAD,BOH-SKLAD,52.0,Bohnice,9778,2025-09-30,52,True
145,BRE-BELDO,BRE-BELDO,35.0,Břevnov,6714,2025-09-30,35,True
146,BRE-NAUDO,BRE-NAUDO,35.0,Břevnov,7319,2025-09-30,35,True
265,BRE-KANC,BRE-KANC,35.0,Břevnov,7,2025-09-30,35,False
161,BRE-POK,BRE-POK,35.0,Břevnov,12,2025-09-30,35,False
796,BRE-DOPOR,BRE-DOPOR,35.0,Břevnov,548,2025-09-30,35,False
924,BRE-CASDE,BRE-CASDE,35.0,Břevnov,46,2025-09-30,35,False
144,BRE-CITR,BRE-CITR,35.0,Břevnov,144,2025-09-30,35,False
148,BRE-LITDE,BRE-LITDE,35.0,Břevnov,4134,2025-09-30,35,True
827,BRE-HRAB2,BRE-HRAB2,35.0,Břevnov,1,2025-09-30,35,False
720,BRE-VITRIN,BRE-VITRIN,35.0,Břevnov,21,2025-09-30,35,False
149,BRE-HRAB,BRE-HRAB,35.0,Břevnov,7,2025-09-30,35,False
1220,BRE-LITML,BRE-LITML,35.0,Břevnov,265,2025-09-30,35,False
157,BRE-POEZIE,BRE-POEZIE,35.0,Břevnov,346,2025-09-30,35,True
826,BRE-CD,BRE-CD,35.0,Břevnov,429,2025-09-30,35,False
151,BRE-CHFOND,BRE-CHFOND,35.0,Břevnov,6,2025-09-30,35,False
249,JIR-LITDE,JIR-LITDE,89.0,Chodov,3754,2025-09-30,89,True
1065,JIR-LEPOR,JIR-LEPOR,89.0,Chodov,290,2025-09-30,89,True
254,JIR-CASOP,JIR-CASOP,89.0,Chodov,360,2025-09-30,89,False
1007,JIR-AUDIO,JIR-AUDIO,89.0,Chodov,851,2025-09-30,89,False
774,JIR-DOPOR,JIR-DOPOR,89.0,Chodov,388,2025-09-30,89,False
251,JIR-NAUDO,JIR-NAUDO,89.0,Chodov,4662,2025-09-30,89,True
255,JIR-HRAB,JIR-HRAB,89.0,Chodov,166,2025-09-30,89,False
253,JIR-CHFOND,JIR-CHFOND,89.0,Chodov,4,2025-09-30,89,False
247,JIR-BELDO,JIR-BELDO,89.0,Chodov,5204,2025-09-30,89,True
250,JIR-DETCAS,JIR-DETCAS,89.0,Chodov,82,2025-09-30,89,False
1006,JIR-KOM,JIR-KOM,89.0,Chodov,206,2025-09-30,89,True
1249,JIR-ZIVOT,JIR-ZIVOT,89.0,Chodov,236,2025-09-30,89,True
1252,JIR-KOMDE,JIR-KOMDE,89.0,Chodov,95,2025-09-30,89,True
256,JIR-POK,JIR-POK,89.0,Chodov,20,2025-09-30,89,False
828,CI3-VSMS,CI3-VSMS,30.0,Cibulka,59,2025-09-30,30,False
637,CI3-HRAB,CI3-HRAB,30.0,Cibulka,9,2025-09-30,30,False
638,CI3-LITDE,CI3-LITDE,30.0,Cibulka,1085,2025-09-30,30,True
915,CI3-CASDE,CI3-CASDE,30.0,Cibulka,27,2025-09-30,30,False
636,CI3-POK,CI3-POK,30.0,Cibulka,38,2025-09-30,30,False
