lokace_id,oznaceni,typ
593,E.T. - sci-fi,Beletrie - dospělí
593,MÁG - fantasy,Beletrie - dospělí
593,J1-J5,Beletrie - dospělí
567,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
567,PISTOLE - detektivky,Beletrie - dospělí
567,E.T. - sci-fi,Beletrie - dospělí
567,MÁG - fantasy,Beletrie - dospělí
567,MILENCI - pro ženy,Beletrie - dospělí
567,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Beletrie - dospělí
567,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - dospělí
567,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - dospělí
847,Komiksy pro dospělé,Beletrie - dospělí
565,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
566,"B1 – dramatická literatura, divadelní hry, rozhlasové hry, filmové a televizní scénáře",Beletrie - dospělí
352,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - dospělí
465,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - děti
465,DÍVKA - dívčí četba,Beletrie - děti
465,PRINCEZNA - pohádky,Beletrie - děti
219,PRINCEZNA - pohádky,Beletrie - děti
219,DÍVKA - dívčí četba,Beletrie - děti
219,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - děti
212,J1-J5,Beletrie - děti
670,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - děti
600,DÍVKA - dívčí četba,Beletrie - děti
600,MÁG - fantasy,Beletrie - děti
600,E.T. - sci-fi,Beletrie - děti
600,PRINCEZNA - pohádky,Beletrie - děti
522,None,Dnes vrácené knihy
513,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - děti
513,PRINCEZNA - pohádky,Beletrie - děti
513,MÁG - fantasy,Beletrie - děti
513,E.T. - sci-fi,Beletrie - děti
513,PISTOLE - detektivky,Beletrie - děti
664,A2 - knížky pro předškolní děti v češtině,Beletrie - děti
664,A3 – knížky pro děti do deseti let v češtině,Beletrie - děti
664,A4 – próza pro starší děti v češtině,Beletrie - děti
664,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - děti
664,J1-J5,Beletrie - děti
664,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - děti
240,A2 - knížky pro předškolní děti v češtině,Beletrie - děti
240,A3 – knížky pro děti do deseti let v češtině,Beletrie - děti
240,A4 – próza pro starší děti v češtině,Beletrie - děti
240,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - děti
240,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - děti
961,J - CIZOJAZYČNÁ BELETRIE.,AK
270,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - děti
270,A4 – próza pro starší děti v češtině,Beletrie - děti
270,A2 - knížky pro předškolní děti v češtině,Beletrie - děti
270,A3 – knížky pro děti do deseti let v češtině,Beletrie - děti
270,PRINCEZNA - pohádky,Beletrie - děti
270,MÁG - fantasy,Beletrie - děti
270,E.T. - sci-fi,Beletrie - děti
270,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - děti
270,J - CIZOJAZYČNÁ BELETRIE.,Beletrie - děti
270,C - DOMÁCNOST.,Naučná - děti
270,D - DĚJINY. DĚJEPIS.,Naučná - děti
270,E - ZEMĚPIS. VLASTIVĚDA. ETNOGRAFIE.,Naučná - děti
270,GOW - společný OCH,Naučná - děti
270,K - PŘÍRODNÍ VĚDY.,Naučná - děti
270,L - FILOZOFIE. PSYCHOLOGIE. ESTETIKA. ETIKA. LOGIKA. NÁBOŽENSTVÍ.,Naučná - děti
270,N - PEDAGOGIKA. ŠKOLSTVÍ. VÝCHOVA. VZDĚLÁVÁNÍ.,Naučná - děti
270,P - LÉKAŘSTVÍ A ZDRAVOTNICTVÍ.,Naučná - děti
270,R - JAZYKOVĚDA.,Naučná - děti
270,S - UMĚNÍ.,Naučná - děti
270,T - TECHNIKA.,Naučná - děti
270,U - VŠEOBECNÉ ENCYKLOPEDIE.,Naučná - děti
270,V - HUDBA.,Naučná - děti
270,X - LITERATURA.,Naučná - děti
270,Y - TĚLESNÁ VÝCHOVA A SPORT,Naučná - děti
270,Z - ZEMĚDĚLSTVÍ. LESNICTVÍ. MYSLIVOST.,Naučná - děti
327,PRINCEZNA - pohádky,Beletrie - děti
327,MÁG - fantasy,Beletrie - děti
327,E.T. - sci-fi,Beletrie - děti
474,DÍVKA - dívčí četba,Beletrie - děti
592,A1 - beletrie pro dospělé čtenáře a mládež v češtině,Beletrie - děti
592,A4 – próza pro starší děti v češtině,Beletrie - děti
592,A2 - knížky pro předškolní děti v češtině,Beletrie - děti
592,A3 – knížky pro děti do deseti let v češtině,Beletrie - děti
592,PRINCEZNA - pohádky,Beletrie - děti
592,DÍVKA - dívčí četba,Beletrie - děti
592,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - děti
592,E.T. - sci-fi,Beletrie - děti
592,MÁG - fantasy,Beletrie - děti
593,J1-J5,Beletrie - děti
565,A4 – próza pro starší děti v češtině,Beletrie - děti
565,A2 - knížky pro předškolní děti v češtině,Beletrie - děti
565,A3 – knížky pro děti do deseti let v češtině,Beletrie - děti
565,PRINCEZNA - pohádky,Beletrie - děti
565,DÍVKA - dívčí četba,Beletrie - děti
565,PISTOLE - detektivky,Beletrie - děti
565,MÁG - fantasy,Beletrie - děti
565,"B2 – poezie v češtině pro dospělé, mládež a starší děti",Beletrie - děti
