pobocka_cislo,lokace_short_norm,OCH,kapacita_realokace,lokace_id
13,HLO-LITDO,X,20.0,1121
13,HLO-LITDO,Y,30.0,1121
13,HLO-LITDO,Z,35.0,1121
13,HLO-LITDO,,20.0,1121
15,HUS-BELDE,A1,80.0,310
15,HUS-BELDE,A2,210.0,310
15,HUS-BELDE,A3,540.0,310
15,HUS-BELDE,A4,240.0,310
15,HUS-BELDE,B2,5.0,310
15,HUS-BELDE,,405.0,310
15,HUS-BELDO,A1,3852.0,307
15,HUS-BELDO,,105.0,307
15,HUS-DOMDE,A2,40.0,315
15,HUS-DOMDE,A3,60.0,315
15,HUS-DOMDE,,100.0,315
15,HUS-KOMDE,,130.0,1002
15,HUS-KOMDO,,140.0,845
15,HUS-NAUC,C,200.0,311
15,HUS-NAUC,D,660.0,311
15,HUS-NAUC,E,260.0,311
15,HUS-NAUC,G,550.0,311
15,HUS-NAUC,K,210.0,311
15,HUS-NAUC,L,510.0,311
15,HUS-NAUC,N,200.0,311
15,HUS-NAUC,O,40.0,311
15,HUS-NAUC,P,200.0,311
15,HUS-NAUC,R,100.0,311
15,HUS-NAUC,S,280.0,311
15,HUS-NAUC,T,80.0,311
15,HUS-NAUC,V,30.0,311
15,HUS-NAUC,W,160.0,311
15,HUS-NAUC,X,160.0,311
15,HUS-NAUC,Y,70.0,311
15,HUS-NAUC,Z,130.0,311
15,HUS-NAUDE,C,70.0,1003
15,HUS-NAUDE,D,110.0,1003
15,HUS-NAUDE,E,20.0,1003
15,HUS-NAUDE,"G,O,W",10.0,1003
15,HUS-NAUDE,K,150.0,1003
15,HUS-NAUDE,L,35.0,1003
15,HUS-NAUDE,N,50.0,1003
15,HUS-NAUDE,P,25.0,1003
15,HUS-NAUDE,R,25.0,1003
15,HUS-NAUDE,S,25.0,1003
15,HUS-NAUDE,T,25.0,1003
15,HUS-NAUDE,U,20.0,1003
15,HUS-NAUDE,V,25.0,1003
15,HUS-NAUDE,X,5.0,1003
15,HUS-NAUDE,Y,25.0,1003
15,HUS-NAUDE,Z,25.0,1003
15,HUS-POEDIV,B1,75.0,312
15,HUS-POEDIV,B2,220.0,312
15,HUS-POEDIV,J1,15.0,312
15,HUS-POEDIV,J2,40.0,312
15,HUS-POEDIV,J3,30.0,312
15,HUS-POEDIV,J4,200.0,312
15,HUS-POEDIV,J5,25.0,312
15,HUS-POEDIV,,25.0,312
15,HUS-SCIFI,A1,560.0,840
18,KOR-BELDO,A1,4660.0,375
18,KOR-BELDO,B1,90.0,375
18,KOR-BELDO,B2,400.0,375
18,KOR-CIZODO,J,60.0,1035
18,KOR-CIZODO,J1,10.0,1035
18,KOR-CIZODO,J2,30.0,1035
18,KOR-CIZODO,J3,40.0,1035
18,KOR-CIZODO,J4,420.0,1035
18,KOR-CIZODO,J5,10.0,1035
18,KOR-CIZODO,,10.0,1035
18,KOR-DETI,A1,40.0,380
18,KOR-DETI,A2,500.0,380
18,KOR-DETI,A3,870.0,380
18,KOR-DETI,A4,550.0,380
18,KOR-DETI,B2,20.0,380
18,KOR-DETI,C,100.0,380
18,KOR-DETI,D,135.0,380
18,KOR-DETI,E,55.0,380
18,KOR-DETI,J1,5.0,380
18,KOR-DETI,J2,20.0,380
18,KOR-DETI,J3,40.0,380
18,KOR-DETI,J4,170.0,380
18,KOR-DETI,J5,20.0,380
18,KOR-DETI,K,300.0,380
18,KOR-DETI,L,70.0,380
18,KOR-DETI,N,80.0,380
18,KOR-DETI,P,40.0,380
18,KOR-DETI,R,75.0,380
18,KOR-DETI,S,40.0,380
