lokace_id,datum,OCH,stav_fondu
548,2025-09-30,,34.0
547,2025-09-30,,76.0
808,2025-09-30,,174.0
391,2025-09-30,,412.0
393,2025-09-30,,1453.0
392,2025-09-30,,2496.0
394,2025-09-30,,34.0
807,2025-09-30,,290.0
883,2025-09-30,,248.0
395,2025-09-30,,1351.0
884,2025-09-30,,159.0
846,2025-09-30,,78.0
404,2025-09-30,,8.0
398,2025-09-30,,10.0
389,2025-09-30,,9913.0
399,2025-09-30,,7.0
387,2025-09-30,,22.0
386,2025-09-30,,37.0
390,2025-09-30,,9232.0
1148,2025-09-30,,989.0
1149,2025-09-30,,94.0
396,2025-09-30,,633.0
435,2025-09-30,,6138.0
436,2025-09-30,,249.0
437,2025-09-30,,3713.0
432,2025-09-30,,52.0
788,2025-09-30,,555.0
422,2025-09-30,,3.0
433,2025-09-30,,49.0
1024,2025-09-30,,157.0
1057,2025-09-30,,10.0
1026,2025-09-30,,699.0
434,2025-09-30,,4981.0
1025,2025-09-30,,188.0
441,2025-09-30,,813.0
955,2025-09-30,,360.0
1027,2025-09-30,,5.0
620,2025-09-30,,4.0
614,2025-09-30,,5018.0
618,2025-09-30,,870.0
617,2025-09-30,,1999.0
1147,2025-09-30,,30.0
920,2025-09-30,,59.0
919,2025-09-30,,270.0
1222,2025-09-30,,24.0
1074,2025-09-30,,238.0
1075,2025-09-30,,158.0
758,2025-09-30,,67.0
1223,2025-09-30,,161.0
615,2025-09-30,,2974.0
577,2025-09-30,,46.0
744,2025-09-30,,297.0
593,2025-09-30,,1348.0
594,2025-09-30,,138.0
591,2025-09-30,,834.0
789,2025-09-30,,22.0
592,2025-09-30,,1280.0
738,2025-09-30,,32.0
570,2025-09-30,,8.0
569,2025-09-30,,44.0
1018,2025-09-30,,488.0
590,2025-09-30,,18.0
1246,2025-09-30,,62.0
1212,2025-09-30,,892.0
1215,2025-09-30,,60.0
1217,2025-09-30,,123.0
1214,2025-09-30,,150.0
1216,2025-09-30,,25.0
1211,2025-09-30,,2933.0
1213,2025-09-30,,135.0
1218,2025-09-30,,37.0
745,2025-09-30,,103.0
847,2025-09-30,,241.0
902,2025-09-30,,240.0
566,2025-09-30,,2720.0
567,2025-09-30,,3427.0
568,2025-09-30,,275.0
559,2025-09-30,,118.0
565,2025-09-30,,3440.0
1275,2025-09-30,,196.0
903,2025-09-30,,111.0
560,2025-09-30,,21.0
790,2025-09-30,,207.0
558,2025-09-30,,36.0
1274,2025-09-30,,135.0
957,2025-09-30,,61.0
538,2025-09-30,,5599.0
535,2025-09-30,,158.0
985,2025-09-30,,99.0
534,2025-09-30,,22.0
773,2025-09-30,,422.0
988,2025-09-30,,20.0
1194,2025-09-30,,1.0
539,2025-09-30,,3371.0
984,2025-09-30,,77.0
987,2025-09-30,,70.0
537,2025-09-30,,5020.0
737,2025-09-30,,25.0
986,2025-09-30,,323.0
450,2025-09-30,,2651.0
747,2025-09-30,,15.0
937,2025-09-30,,38.0
443,2025-09-30,,3139.0
445,2025-09-30,,1417.0
452,2025-09-30,,5.0
803,2025-09-30,,108.0
451,2025-09-30,,23.0
448,2025-09-30,,54.0
449,2025-09-30,,805.0
446,2025-09-30,,2029.0
453,2025-09-30,,23.0
447,2025-09-30,,218.0
444,2025-09-30,,2901.0
936,2025-09-30,,130.0
1083,2025-09-30,,249.0
862,2025-09-30,,119426.0
863,2025-09-30,,13760.0
865,2025-09-30,,408.0
866,2025-09-30,,1.0
867,2025-09-30,,36010.0
1019,2025-09-30,,59.0
1067,2025-09-30,,32.0
1206,2025-09-30,,14598.0
1207,2025-09-30,,13341.0
835,2025-09-30,,129.0
836,2025-09-30,,1810.0
1117,2025-09-30,,9.0
837,2025-09-30,,2199.0
458,2025-09-30,,2.0
838,2025-09-30,,519.0
832,2025-09-30,,10547.0
842,2025-09-30,,28.0
833,2025-09-30,,2916.0
1283,2025-09-30,,14.0
841,2025-09-30,,109.0
1263,2025-09-30,,134.0
1262,2025-09-30,,262.0
457,2025-09-30,,2.0
727,2025-09-30,,7.0
724,2025-09-30,,1208.0
1091,2025-09-30,,1302.0
1092,2025-09-30,,93.0
701,2025-09-30,,672.0
1094,2025-09-30,,137.0
793,2025-09-30,,279.0
1093,2025-09-30,,246.0
704,2025-09-30,,31.0
706,2025-09-30,,27.0
705,2025-09-30,,108.0
699,2025-09-30,,3831.0
700,2025-09-30,,3505.0
749,2025-09-30,,17.0
1095,2025-09-30,,776.0
703,2025-09-30,,148.0
1070,2025-09-30,,231.0
